areaCode,areaName,areaType,date,hospitalCases
K02000001,United Kingdom,overview,2022-09-21,6199
K02000001,United Kingdom,overview,2022-09-20,5906
K02000001,United Kingdom,overview,2022-09-19,5751
K02000001,United Kingdom,overview,2022-09-18,5585
K02000001,United Kingdom,overview,2022-09-17,5487
K02000001,United Kingdom,overview,2022-09-16,5591
K02000001,United Kingdom,overview,2022-09-15,5625
K02000001,United Kingdom,overview,2022-09-14,5596
K02000001,United Kingdom,overview,2022-09-13,5677
K02000001,United Kingdom,overview,2022-09-12,5725
K02000001,United Kingdom,overview,2022-09-11,5784
K02000001,United Kingdom,overview,2022-09-10,5752
K02000001,United Kingdom,overview,2022-09-09,5915
K02000001,United Kingdom,overview,2022-09-08,6022
K02000001,United Kingdom,overview,2022-09-07,6078
K02000001,United Kingdom,overview,2022-09-06,6257
K02000001,United Kingdom,overview,2022-09-05,6363
K02000001,United Kingdom,overview,2022-09-04,6359
K02000001,United Kingdom,overview,2022-09-03,6322
K02000001,United Kingdom,overview,2022-09-02,6497
K02000001,United Kingdom,overview,2022-09-01,6733
K02000001,United Kingdom,overview,2022-08-31,6828
K02000001,United Kingdom,overview,2022-08-30,6930
K02000001,United Kingdom,overview,2022-08-29,6930
K02000001,United Kingdom,overview,2022-08-28,6871
K02000001,United Kingdom,overview,2022-08-27,6947
K02000001,United Kingdom,overview,2022-08-26,7005
K02000001,United Kingdom,overview,2022-08-25,7500
K02000001,United Kingdom,overview,2022-08-24,7572
K02000001,United Kingdom,overview,2022-08-23,7753
K02000001,United Kingdom,overview,2022-08-22,8218
K02000001,United Kingdom,overview,2022-08-21,8116
K02000001,United Kingdom,overview,2022-08-20,8190
K02000001,United Kingdom,overview,2022-08-19,8516
K02000001,United Kingdom,overview,2022-08-18,8913
K02000001,United Kingdom,overview,2022-08-17,9048
K02000001,United Kingdom,overview,2022-08-16,9433
K02000001,United Kingdom,overview,2022-08-15,9724
K02000001,United Kingdom,overview,2022-08-14,9750
K02000001,United Kingdom,overview,2022-08-13,9601
K02000001,United Kingdom,overview,2022-08-12,9665
K02000001,United Kingdom,overview,2022-08-11,9938
K02000001,United Kingdom,overview,2022-08-10,10120
K02000001,United Kingdom,overview,2022-08-09,10271
K02000001,United Kingdom,overview,2022-08-08,10604
K02000001,United Kingdom,overview,2022-08-07,10510
K02000001,United Kingdom,overview,2022-08-06,10566
K02000001,United Kingdom,overview,2022-08-05,10973
K02000001,United Kingdom,overview,2022-08-04,11411
K02000001,United Kingdom,overview,2022-08-03,11796
K02000001,United Kingdom,overview,2022-08-02,12203
K02000001,United Kingdom,overview,2022-08-01,12502
K02000001,United Kingdom,overview,2022-07-31,12540
K02000001,United Kingdom,overview,2022-07-30,12670
K02000001,United Kingdom,overview,2022-07-29,13366
K02000001,United Kingdom,overview,2022-07-28,13716
K02000001,United Kingdom,overview,2022-07-27,14262
K02000001,United Kingdom,overview,2022-07-26,14556
K02000001,United Kingdom,overview,2022-07-25,14981
K02000001,United Kingdom,overview,2022-07-24,15044
K02000001,United Kingdom,overview,2022-07-23,14966
K02000001,United Kingdom,overview,2022-07-22,15796
K02000001,United Kingdom,overview,2022-07-21,16051
K02000001,United Kingdom,overview,2022-07-20,16254
K02000001,United Kingdom,overview,2022-07-19,16558
K02000001,United Kingdom,overview,2022-07-18,16747
K02000001,United Kingdom,overview,2022-07-17,16602
K02000001,United Kingdom,overview,2022-07-16,16500
K02000001,United Kingdom,overview,2022-07-15,16831
K02000001,United Kingdom,overview,2022-07-14,16704
K02000001,United Kingdom,overview,2022-07-13,16602
K02000001,United Kingdom,overview,2022-07-12,16470
K02000001,United Kingdom,overview,2022-07-11,16065
K02000001,United Kingdom,overview,2022-07-10,15590
K02000001,United Kingdom,overview,2022-07-09,15091
K02000001,United Kingdom,overview,2022-07-08,14908
K02000001,United Kingdom,overview,2022-07-07,14482
K02000001,United Kingdom,overview,2022-07-06,14086
K02000001,United Kingdom,overview,2022-07-05,13588
K02000001,United Kingdom,overview,2022-07-04,13111
K02000001,United Kingdom,overview,2022-07-03,12330
K02000001,United Kingdom,overview,2022-07-02,11932
K02000001,United Kingdom,overview,2022-07-01,11627
K02000001,United Kingdom,overview,2022-06-30,11087
K02000001,United Kingdom,overview,2022-06-29,10686
K02000001,United Kingdom,overview,2022-06-28,10123
K02000001,United Kingdom,overview,2022-06-27,9784
K02000001,United Kingdom,overview,2022-06-26,9315
K02000001,United Kingdom,overview,2022-06-25,8743
K02000001,United Kingdom,overview,2022-06-24,8450
K02000001,United Kingdom,overview,2022-06-23,8028
K02000001,United Kingdom,overview,2022-06-22,7759
K02000001,United Kingdom,overview,2022-06-21,7467
K02000001,United Kingdom,overview,2022-06-20,7167
K02000001,United Kingdom,overview,2022-06-19,6805
K02000001,United Kingdom,overview,2022-06-18,6509
K02000001,United Kingdom,overview,2022-06-17,6320
K02000001,United Kingdom,overview,2022-06-16,6238
K02000001,United Kingdom,overview,2022-06-15,6054
K02000001,United Kingdom,overview,2022-06-14,5871
K02000001,United Kingdom,overview,2022-06-13,5752
K02000001,United Kingdom,overview,2022-06-12,5485
K02000001,United Kingdom,overview,2022-06-11,5314
K02000001,United Kingdom,overview,2022-06-10,5310
K02000001,United Kingdom,overview,2022-06-09,5112
K02000001,United Kingdom,overview,2022-06-08,5109
K02000001,United Kingdom,overview,2022-06-07,5122
K02000001,United Kingdom,overview,2022-06-06,5102
K02000001,United Kingdom,overview,2022-06-05,4912
K02000001,United Kingdom,overview,2022-06-04,4765
K02000001,United Kingdom,overview,2022-06-03,4805
K02000001,United Kingdom,overview,2022-06-02,4797
K02000001,United Kingdom,overview,2022-06-01,4775
K02000001,United Kingdom,overview,2022-05-31,5021
K02000001,United Kingdom,overview,2022-05-30,5060
K02000001,United Kingdom,overview,2022-05-29,4979
K02000001,United Kingdom,overview,2022-05-28,5030
K02000001,United Kingdom,overview,2022-05-27,5224
K02000001,United Kingdom,overview,2022-05-26,5474
K02000001,United Kingdom,overview,2022-05-25,5603
K02000001,United Kingdom,overview,2022-05-24,5746
K02000001,United Kingdom,overview,2022-05-23,6124
K02000001,United Kingdom,overview,2022-05-22,6137
K02000001,United Kingdom,overview,2022-05-21,6190
K02000001,United Kingdom,overview,2022-05-20,6407
K02000001,United Kingdom,overview,2022-05-19,6618
K02000001,United Kingdom,overview,2022-05-18,6763
K02000001,United Kingdom,overview,2022-05-17,7136
K02000001,United Kingdom,overview,2022-05-16,7468
K02000001,United Kingdom,overview,2022-05-15,7646
K02000001,United Kingdom,overview,2022-05-14,7662
K02000001,United Kingdom,overview,2022-05-13,8000
K02000001,United Kingdom,overview,2022-05-12,8301
K02000001,United Kingdom,overview,2022-05-11,8752
K02000001,United Kingdom,overview,2022-05-10,9140
K02000001,United Kingdom,overview,2022-05-09,9449
K02000001,United Kingdom,overview,2022-05-08,9525
K02000001,United Kingdom,overview,2022-05-07,9584
K02000001,United Kingdom,overview,2022-05-06,10090
K02000001,United Kingdom,overview,2022-05-05,10604
K02000001,United Kingdom,overview,2022-05-04,11094
K02000001,United Kingdom,overview,2022-05-03,11428
K02000001,United Kingdom,overview,2022-05-02,11535
K02000001,United Kingdom,overview,2022-05-01,11536
K02000001,United Kingdom,overview,2022-04-30,11754
K02000001,United Kingdom,overview,2022-04-29,12287
K02000001,United Kingdom,overview,2022-04-28,12851
K02000001,United Kingdom,overview,2022-04-27,13471
K02000001,United Kingdom,overview,2022-04-26,13906
K02000001,United Kingdom,overview,2022-04-25,14588
K02000001,United Kingdom,overview,2022-04-24,14773
K02000001,United Kingdom,overview,2022-04-23,14889
K02000001,United Kingdom,overview,2022-04-22,15704
K02000001,United Kingdom,overview,2022-04-21,16230
K02000001,United Kingdom,overview,2022-04-20,17156
K02000001,United Kingdom,overview,2022-04-19,17685
K02000001,United Kingdom,overview,2022-04-18,17238
K02000001,United Kingdom,overview,2022-04-17,17336
K02000001,United Kingdom,overview,2022-04-16,17501
K02000001,United Kingdom,overview,2022-04-15,17569
K02000001,United Kingdom,overview,2022-04-14,18248
K02000001,United Kingdom,overview,2022-04-13,18750
K02000001,United Kingdom,overview,2022-04-12,19490
K02000001,United Kingdom,overview,2022-04-11,19785
K02000001,United Kingdom,overview,2022-04-10,19348
K02000001,United Kingdom,overview,2022-04-09,19209
K02000001,United Kingdom,overview,2022-04-08,19786
K02000001,United Kingdom,overview,2022-04-07,20049
K02000001,United Kingdom,overview,2022-04-06,20128
K02000001,United Kingdom,overview,2022-04-05,20089
K02000001,United Kingdom,overview,2022-04-04,20080
K02000001,United Kingdom,overview,2022-04-03,19616
K02000001,United Kingdom,overview,2022-04-02,19263
K02000001,United Kingdom,overview,2022-04-01,19605
K02000001,United Kingdom,overview,2022-03-31,19258
K02000001,United Kingdom,overview,2022-03-30,19200
K02000001,United Kingdom,overview,2022-03-29,19052
K02000001,United Kingdom,overview,2022-03-28,18807
K02000001,United Kingdom,overview,2022-03-27,18037
K02000001,United Kingdom,overview,2022-03-26,17321
K02000001,United Kingdom,overview,2022-03-25,17384
K02000001,United Kingdom,overview,2022-03-24,17119
K02000001,United Kingdom,overview,2022-03-23,16652
K02000001,United Kingdom,overview,2022-03-22,16409
K02000001,United Kingdom,overview,2022-03-21,15980
K02000001,United Kingdom,overview,2022-03-20,15189
K02000001,United Kingdom,overview,2022-03-19,14738
K02000001,United Kingdom,overview,2022-03-18,14667
K02000001,United Kingdom,overview,2022-03-17,14404
K02000001,United Kingdom,overview,2022-03-16,13965
K02000001,United Kingdom,overview,2022-03-15,13783
K02000001,United Kingdom,overview,2022-03-14,13268
K02000001,United Kingdom,overview,2022-03-13,12515
K02000001,United Kingdom,overview,2022-03-12,12161
K02000001,United Kingdom,overview,2022-03-11,11857
K02000001,United Kingdom,overview,2022-03-10,11675
K02000001,United Kingdom,overview,2022-03-09,11469
K02000001,United Kingdom,overview,2022-03-08,11367
K02000001,United Kingdom,overview,2022-03-07,11043
K02000001,United Kingdom,overview,2022-03-06,10565
K02000001,United Kingdom,overview,2022-03-05,10417
K02000001,United Kingdom,overview,2022-03-04,10422
K02000001,United Kingdom,overview,2022-03-03,10220
K02000001,United Kingdom,overview,2022-03-02,10366
K02000001,United Kingdom,overview,2022-03-01,10448
K02000001,United Kingdom,overview,2022-02-28,10479
K02000001,United Kingdom,overview,2022-02-27,10232
K02000001,United Kingdom,overview,2022-02-26,10077
K02000001,United Kingdom,overview,2022-02-25,10350
K02000001,United Kingdom,overview,2022-02-24,10472
K02000001,United Kingdom,overview,2022-02-23,10757
K02000001,United Kingdom,overview,2022-02-22,10805
K02000001,United Kingdom,overview,2022-02-21,11071
K02000001,United Kingdom,overview,2022-02-20,10886
K02000001,United Kingdom,overview,2022-02-19,10977
K02000001,United Kingdom,overview,2022-02-18,10961
K02000001,United Kingdom,overview,2022-02-17,11323
K02000001,United Kingdom,overview,2022-02-16,11485
K02000001,United Kingdom,overview,2022-02-15,11818
K02000001,United Kingdom,overview,2022-02-14,12039
K02000001,United Kingdom,overview,2022-02-13,11810
K02000001,United Kingdom,overview,2022-02-12,11757
K02000001,United Kingdom,overview,2022-02-11,12108
K02000001,United Kingdom,overview,2022-02-10,12531
K02000001,United Kingdom,overview,2022-02-09,12936
K02000001,United Kingdom,overview,2022-02-08,13360
K02000001,United Kingdom,overview,2022-02-07,13603
K02000001,United Kingdom,overview,2022-02-06,13416
K02000001,United Kingdom,overview,2022-02-05,13528
K02000001,United Kingdom,overview,2022-02-04,14021
K02000001,United Kingdom,overview,2022-02-03,14459
K02000001,United Kingdom,overview,2022-02-02,14648
K02000001,United Kingdom,overview,2022-02-01,15056
K02000001,United Kingdom,overview,2022-01-31,15514
K02000001,United Kingdom,overview,2022-01-30,15163
K02000001,United Kingdom,overview,2022-01-29,14885
K02000001,United Kingdom,overview,2022-01-28,15759
K02000001,United Kingdom,overview,2022-01-27,15983
K02000001,United Kingdom,overview,2022-01-26,16327
K02000001,United Kingdom,overview,2022-01-25,16397
K02000001,United Kingdom,overview,2022-01-24,16993
K02000001,United Kingdom,overview,2022-01-23,16721
K02000001,United Kingdom,overview,2022-01-22,16745
K02000001,United Kingdom,overview,2022-01-21,17391
K02000001,United Kingdom,overview,2022-01-20,17824
K02000001,United Kingdom,overview,2022-01-19,18327
K02000001,United Kingdom,overview,2022-01-18,18833
K02000001,United Kingdom,overview,2022-01-17,19267
K02000001,United Kingdom,overview,2022-01-16,19036
K02000001,United Kingdom,overview,2022-01-15,18913
K02000001,United Kingdom,overview,2022-01-14,19165
K02000001,United Kingdom,overview,2022-01-13,19368
K02000001,United Kingdom,overview,2022-01-12,19529
K02000001,United Kingdom,overview,2022-01-11,19561
K02000001,United Kingdom,overview,2022-01-10,19656
K02000001,United Kingdom,overview,2022-01-09,18843
K02000001,United Kingdom,overview,2022-01-08,18417
K02000001,United Kingdom,overview,2022-01-07,18492
K02000001,United Kingdom,overview,2022-01-06,18311
K02000001,United Kingdom,overview,2022-01-05,17842
K02000001,United Kingdom,overview,2022-01-04,17136
K02000001,United Kingdom,overview,2022-01-03,16134
K02000001,United Kingdom,overview,2022-01-02,14961
